Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
842;106, RUE CASTAGNARY;75015;Paris;2007;RIVP;14;7;0;7;0;acquisition réhabilitation;;15;logement familial;649047.1701;6859146.088;"{""type"": ""Point"", ""coordinates"": [2.30591198595605, 48.830356225528206]}";48.8303562255,2.30591198596
1096;62, RUE BAYEN;75017;Paris;2008;PARIS HAB;11;0;11;0;0;acquisition réhabilitation;;17;logement familial;647923.321;6865091.094;"{""type"": ""Point"", ""coordinates"": [2.28987525628707, 48.883728903878875]}";48.8837289039,2.28987525629
1342;PORTE DE MONTREUIL 7 SQUARE DE GASCOGNE 4 SQUARE DU PERIGORD 1 SQ DU QUERCY;75020;Paris;2009;PARIS HAB;7;0;7;0;0;acquisition réhabilitation;;20;logement familial;656833.2601;6861745.799;"{""type"": ""Point"", ""coordinates"": [2.411707298781915, 48.854304096609816]}";48.8543040966,2.41170729878
1347;52, RUE DES MATHURINS;75008;Paris;2009;HSF;11;2;9;0;0;acquisition conventionnement;;8;logement familial;650411.4617;6863919.523;"{""type"": ""Point"", ""coordinates"": [2.323938961909054, 48.87338973790938]}";48.8733897379,2.32393896191
1349;48, RUE DE LA MOUZAIA;75019;Paris;2009;RIVP;52;0;10;0;42;acquisition conventionnement;;19;logement familial;655691.2912;6864640.441;"{""type"": ""Point"", ""coordinates"": [2.395842884626425, 48.880257679787555]}";48.8802576798,2.39584288463
1433;43-45, RUE DES MORILLONS;75015;Paris;2009;BATIGERE;3;0;3;0;0;acquisition conventionnement;;15;logement familial;648608.0639;6859456.237;"{""type"": ""Point"", ""coordinates"": [2.299893261244169, 48.83311055111069]}";48.8331105511,2.29989326124
1459;4, RUE HIPPOLYTE LEBAS - 5, RUE CHORON;75009;Paris;2009;RES.L.F.;4;0;0;0;4;construction neuve;;9;logement familial;651702.8447;6864352.736;"{""type"": ""Point"", ""coordinates"": [2.341494839755365, 48.8773836478827]}";48.8773836479,2.34149483976
1237;275, RUE DE BELLEVILLE;75019;Paris;2008;SIEMP;7;1;6;0;0;acquisition réhabilitation;;19;logement familial;656033.3986;6864145.891;"{""type"": ""Point"", ""coordinates"": [2.400558590287022, 48.87583375109253]}";48.8758337511,2.40055859029
1479;12, PLACE DE LA PORTE DE VANVES ANGLE BD BRUNE ET RUE JULIA BARTHET;75014;Paris;2009;RIVP;67;0;67;0;0;construction neuve;;14;résidence pour étudiants;648911.0978;6858789.343;"{""type"": ""Point"", ""coordinates"": [2.304101309120481, 48.82713721652218]}";48.8271372165,2.30410130912
1481;115, AVENUE JEAN JAURES;75019;Paris;2009;SIEMP;8;0;4;0;4;acquisition réhabilitation;;19;logement familial;654643.9453;6865276.55;"{""type"": ""Point"", ""coordinates"": [2.381494777580149, 48.88590511262959]}";48.8859051126,2.38149477758
1507;28-30 RUE DU SURMELIN;75020;Paris;2009;SIEMP;2;0;2;0;0;acquisition réhabilitation;;20;logement familial;656275.4883;6863304.73;"{""type"": ""Point"", ""coordinates"": [2.403945688219716, 48.868285817544894]}";48.8682858175,2.40394568822
1547;13-19 RUE CAPRON;75018;Paris;2009;SIEMP;1;0;1;0;0;acquisition réhabilitation;;18;logement familial;650743.1836;6865266.355;"{""type"": ""Point"", ""coordinates"": [2.328305052777662, 48.88552684681464]}";48.8855268468,2.32830505278
1567;55 PASSAGE DU BUREAU;75011;Paris;2010;ELOGIE;4;0;4;0;0;construction neuve;;11;logement familial;655573.8783;6861662.07;"{""type"": ""Point"", ""coordinates"": [2.394553378358208, 48.85346551322263]}";48.8534655132,2.39455337836
1584;77-79, RUE LAUGIER ET 12, RUE GALVANI;75017;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition conventionnement;;17;logement familial;648036.7075;6865120.475;"{""type"": ""Point"", ""coordinates"": [2.291417731932861, 48.88400227629941]}";48.8840022763,2.29141773193
1594;20-26, RUE DE CRONSTADT;75015;Paris;2010;PARIS HAB;1;1;0;0;0;acquisition conventionnement;;15;logement familial;648729.1006;6859554.169;"{""type"": ""Point"", ""coordinates"": [2.301530244148485, 48.83400089758053]}";48.8340008976,2.30153024415
1840;29 RUE HAUTPOUL;75019;Paris;2011;COALLIA;106;106;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;19;foyer de travailleurs migrants;655124.5987;6864874.079;"{""type"": ""Point"", ""coordinates"": [2.388091552500253, 48.88231948364987]}";48.8823194836,2.3880915525
1846;36, RUE SIBUET;75012;Paris;2011;ELOGIE;2;0;2;0;0;acquisition réhabilitation;;12;logement familial;656145.4611;6860582.372;"{""type"": ""Point"", ""coordinates"": [2.4024540529426153, 48.843794932145485]}";48.8437949321,2.40245405294
1854;1 RUE ERNEST GOUIN;75017;Paris;2011;ELOGIE;1;0;1;0;0;acquisition réhabilitation;;17;logement familial;650016.3653;6866173.348;"{""type"": ""Point"", ""coordinates"": [2.318287441939715, 48.89362706683307]}";48.8936270668,2.31828744194
1883;39, RUE LEON;75018;Paris;2011;FRANC.HAB.;6;0;0;0;6;construction neuve;;18;logement familial;652593.5837;6865623.64;"{""type"": ""Point"", ""coordinates"": [2.353497158657514, 48.888878681666704]}";48.8888786817,2.35349715866
1730;ZAC PARIS RIVE GAUCHE LOT M9E 22-26, RUE DU CHEVALERET 5-15, RUE LEO FRANKEL;75013;Paris;2010;SIEMP;60;6;24;0;30;construction neuve;;13;logement familial;654313.9566;6858732.689;"{""type"": ""Point"", ""coordinates"": [2.377698274844029, 48.82703329854602]}";48.8270332985,2.37769827484
1737;22-24, PLACE DENFERT ROCHEREAU;75014;Paris;2010;RIVP;12;12;0;0;0;construction neuve;;14;centre d'hébergement d'urgence;650889.8832;6859521.805;"{""type"": ""Point"", ""coordinates"": [2.330969146510289, 48.83387811608203]}";48.8338781161,2.33096914651
1750;190 BD DE LA VILLETTE;75019;Paris;2010;RIVP;26;0;7;0;19;acquisition réhabilitation;;19;logement familial;653835.5872;6864832.106;"{""type"": ""Point"", ""coordinates"": [2.37052024818945, 48.88185091200851]}";48.881850912,2.37052024819
1773;65 RUE DE LAGNY;75020;Paris;2010;ELOGIE;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;656421.9041;6861164.627;"{""type"": ""Point"", ""coordinates"": [2.406160958290402, 48.849049927164266]}";48.8490499272,2.40616095829
1777;73 RUE RIQUET;75018;Paris;2010;SIEMP;38;7;24;0;7;acquisition réhabilitation;;18;logement familial;653205.6645;6865738.536;"{""type"": ""Point"", ""coordinates"": [2.361831353620361, 48.88995667669969]}";48.8899566767,2.36183135362
1790;275, RUE DE BELLEVILLE;75019;Paris;2010;SIEMP;11;0;4;0;7;acquisition réhabilitation;;19;logement familial;656033.3986;6864145.891;"{""type"": ""Point"", ""coordinates"": [2.400558590287022, 48.87583375109253]}";48.8758337511,2.40055859029
1791;253, RUE DE BELLEVILLE;75019;Paris;2010;SIEMP;7;0;3;0;4;acquisition réhabilitation;;19;logement familial;655854.9211;6864115.983;"{""type"": ""Point"", ""coordinates"": [2.398128427035899, 48.87555258528584]}";48.8755525853,2.39812842704
1619;26, RUE CAUCHY 15-31, RUE DE LA MONTAGNE DE L'ESPEROU;75015;Paris;2010;PARIS HAB;1;1;0;0;0;acquisition conventionnement;;15;logement familial;646927.1563;6860528.603;"{""type"": ""Point"", ""coordinates"": [2.27686191726907, 48.84261809828538]}";48.8426180983,2.27686191727
1651;GROUPE MURAT 9-11, RUE ABEL FERRY;75016;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;645703.7473;6859884.62;"{""type"": ""Point"", ""coordinates"": [2.260275657175534, 48.83672486962928]}";48.8367248696,2.26027565718
1655;59, RUE LOUIS BLANC;75010;Paris;2010;RIVP;32;7;20;0;5;acquisition conventionnement;;10;logement familial;653124.2085;6865001.306;"{""type"": ""Point"", ""coordinates"": [2.360801913085208, 48.88332108542112]}";48.8833210854,2.36080191309
1666;GROUPE VERSAILLES 5, RUE PIERRE LOUYS;75016;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;646849.415;6861382.865;"{""type"": ""Point"", ""coordinates"": [2.275695956490197, 48.85029399449643]}";48.8502939945,2.27569595649
1670;GROUPE MORILLONS 59, RUE DES MORILLONS;75015;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;15;logement familial;648762.9433;6859380.406;"{""type"": ""Point"", ""coordinates"": [2.302012187625038, 48.83244093021624]}";48.8324409302,2.30201218763
1690;3, RUE SAINTE MARTHE;75010;Paris;2010;SIEMP;1;0;1;0;0;acquisition réhabilitation;;10;logement familial;653848.2995;6863906.565;"{""type"": ""Point"", ""coordinates"": [2.370794142548861, 48.873528662535854]}";48.8735286625,2.37079414255
1691;18, CITE POPINCOURT;75011;Paris;2010;SIEMP;2;0;2;0;0;acquisition réhabilitation;;11;logement familial;654177.7963;6862690.628;"{""type"": ""Point"", ""coordinates"": [2.375417247397075, 48.862617469818375]}";48.8626174698,2.3754172474
1914;GROUPE GOUVION SAINT CYR 28 BD GOUVION SAINT CYR;75017;Paris;2011;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;17;logement familial;647764.9009;6865058.908;"{""type"": ""Point"", ""coordinates"": [2.287719093986286, 48.88342663564617]}";48.8834266356,2.28771909399
1936;GROUPE MOLITOR 4 RUE LECOMTE DE NOUY;75016;Paris;2011;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;645365.4782;6860552.891;"{""type"": ""Point"", ""coordinates"": [2.25558157033236, 48.84270600692798]}";48.8427060069,2.25558157033
1955;16, RUE DES JARDINS SAINT PAUL;75004;Paris;2011;RIVP;9;0;9;0;0;acquisition conventionnement;;4;logement familial;653086.939;6861678.136;"{""type"": ""Point"", ""coordinates"": [2.360660622603027, 48.85343370691417]}";48.8534337069,2.3606606226
1977;11 BIS, AVENUE DE VERZY 22, AVENUE YVES DU MANOIR;75017;Paris;2011;RIVP;22;0;22;0;0;acquisition conventionnement;;17;logement familial;647740.8649;6864878.921;"{""type"": ""Point"", ""coordinates"": [2.287413503487386, 48.88180612868833]}";48.8818061287,2.28741350349
1992;HOPITAL BROUSSAIS  15 RUE DES ARBUSTES 96-108 RUE DIDOT 1-29 RUE DE MARINIERS;75014;Paris;2011;RIVP;97;0;97;0;0;construction neuve;;14;résidence pour étudiants;649340.2228;6858909.184;"{""type"": ""Point"", ""coordinates"": [2.309931997173437, 48.82824882739883]}";48.8282488274,2.30993199717
2290;50, RUE DE CLICHY;75009;Paris;2013;HUMANISME;1;0;1;0;0;construction neuve;"opération abandonnée; réagréée";9;logement familial;650791.4041;6864678.116;"{""type"": ""Point"", ""coordinates"": [2.329030744458147, 48.88024069430147]}";48.8802406943,2.32903074446
2293;14-16, RUE DES PAVILLONS;75020;Paris;2013;HSF;9;0;5;0;4;construction neuve;;20;logement familial;655764.0485;6863798.938;"{""type"": ""Point"", ""coordinates"": [2.396922536254137, 48.87269522619807]}";48.8726952262,2.39692253625
2307;3, RUE DE PROUVAIRES;75001;Paris;2013;PARIS HAB;1;0;1;0;0;construction neuve;;1;logement familial;651873.7669;6862577.544;"{""type"": ""Point"", ""coordinates"": [2.344026228586789, 48.86143250677223]}";48.8614325068,2.34402622859
2308;LA SAMARITAINE 14, 18 ET 30 RUE DE L'ARBRE SEC;75001;Paris;2013;PARIS HAB;96;24;48;0;24;construction neuve;;1;logement familial;651725.5532;6862361.292;"{""type"": ""Point"", ""coordinates"": [2.342030689167708, 48.85947669163574]}";48.8594766916,2.34203068917
2335;26, AVENUE DE L'OBSERVATOIRE;75014;Paris;2013;PARIS HAB;48;0;48;0;0;construction neuve;;14;résidence pour étudiants;651290.4004;6860114.302;"{""type"": ""Point"", ""coordinates"": [2.33635732809981, 48.83923686722718]}";48.8392368672,2.3363573281
1801;14-16 RUE DENOYEZ;75020;Paris;2010;SIEMP;1;0;1;0;0;acquisition réhabilitation;;20;logement familial;654411.5076;6863706.754;"{""type"": ""Point"", ""coordinates"": [2.378493720955895, 48.87177191531382]}";48.8717719153,2.37849372096
1837;21-25, PASSAGE CHARLES DALLERY;75011;Paris;2011;BATIGERE;11;2;9;0;0;construction neuve;;11;logement familial;654305.4004;6861915.659;"{""type"": ""Point"", ""coordinates"": [2.37723980030411, 48.85565730870923]}";48.8556573087,2.3772398003
2020;46-48, RUE D'AUBERVILLIERS;75019;Paris;2011;SIEMP;30;0;0;0;30;construction neuve;;19;logement familial;653575.4695;6865375.584;"{""type"": ""Point"", ""coordinates"": [2.366914123198988, 48.886719543293374]}";48.8867195433,2.3669141232
2052;5-7, RUE MYRHA  ET 30-32 RUE AFFRE;75018;Paris;2012;BATIGERE;12;0;0;12;0;construction neuve;;18;logement familial;652741.8284;6865433.821;"{""type"": ""Point"", ""coordinates"": [2.355539876116984, 48.88718260316664]}";48.8871826032,2.35553987612
2055;8-10, RUE DEMARQUAY;75010;Paris;2012;BATIGERE;3;0;3;0;0;acquisition conventionnement;;10;logement familial;653020.0003;6864742.846;"{""type"": ""Point"", ""coordinates"": [2.359409583876736, 48.880989236344284]}";48.8809892363,2.35940958388
2213;98, RUE DE LA FOLIE MERICOURT;75011;Paris;2012;RIVP;15;2;11;0;2;acquisition réhabilitation;;11;logement familial;653722.7175;6863222.585;"{""type"": ""Point"", ""coordinates"": [2.369156599451715, 48.86736874920862]}";48.8673687492,2.36915659945
2214;VILLA DES BUTTES CHAUMONT 70BIS-72 RUE BOTZARIS;75019;Paris;2012;RIVP;35;0;0;0;35;acquisition conventionnement;;19;logement familial;655112.2423;6864555.212;"{""type"": ""Point"", ""coordinates"": [2.387956771638422, 48.87945113396928]}";48.879451134,2.38795677164
2242;55, BD MASSENA;75013;Paris;2013;ADOMA;225;225;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;13;foyer de travailleurs migrants;653887.521;6858202.356;"{""type"": ""Point"", ""coordinates"": [2.371947381786823, 48.822233552016336]}";48.822233552,2.37194738179
2243;63, RUE DU CHEVALERET (SENGHOR);75013;Paris;2013;ADOMA;104;104;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;13;foyer de travailleurs migrants;654224.0837;6858853.293;"{""type"": ""Point"", ""coordinates"": [2.376461170875329, 48.82811153378526]}";48.8281115338,2.37646117088
2246;37 BIS, RUE DE MONTREUIL;75011;Paris;2013;BATIGERE;2;0;2;0;0;construction neuve;;11;logement familial;655030.6556;6861335.115;"{""type"": ""Point"", ""coordinates"": [2.387185123995914, 48.850487527829344]}";48.8504875278,2.387185124
2248;5-7, RUE MYRHA  ET 30-32 RUE AFFRE;75018;Paris;2013;BATIGERE;2;0;2;0;0;construction neuve;;18;logement familial;652756.2104;6865439.623;"{""type"": ""Point"", ""coordinates"": [2.355735349327309, 48.88723583400517]}";48.887235834,2.35573534933
2258;62, RUE REGNAULT;75013;Paris;2013;ELOGIE;14;2;5;0;7;acquisition réhabilitation;;13;logement familial;654015.2701;6858387.172;"{""type"": ""Point"", ""coordinates"": [2.373667287200225, 48.82390476399517]}";48.823904764,2.3736672872
2543;1, RUE SAINT MEDARD;75005;Paris;2014;PARIS HAB;30;7;14;0;9;acquisition conventionnement;;5;logement familial;652381.6259;6860577.069;"{""type"": ""Point"", ""coordinates"": [2.351172218589037, 48.843480099306106]}";48.8434800993,2.35117221859
2547;106, RUE JEAN PIERRE TIMBAUD;75011;Paris;2014;PARIS HAB;33;8;15;0;10;acquisition conventionnement;;11;logement familial;654451.0996;6863296.882;"{""type"": ""Point"", ""coordinates"": [2.379077393621664, 48.868088810297856]}";48.8680888103,2.37907739362
2559;128-138, BOULEVARD MURAT;75016;Paris;2014;PARIS HAB;634;159;285;0;190;acquisition conventionnement;;16;logement familial;645689.042;6859897.957;"{""type"": ""Point"", ""coordinates"": [2.260073623405403, 48.83684356984906]}";48.8368435698,2.26007362341
2564;1-9, RUE JEAN MOREAS;75017;Paris;2014;PARIS HAB;138;35;62;0;41;acquisition conventionnement;;17;logement familial;648122.3245;6865406.311;"{""type"": ""Point"", ""coordinates"": [2.292550240668668, 48.886579592777515]}";48.8865795928,2.29255024067
2584;PARIS NORD EST - ENTREPOTS MACDONALD 219 BD MACDONALD;75019;Paris;2014;RES.L.F.;50;0;0;0;50;construction neuve;;19;logement familial;654525.094;6866691.797;"{""type"": ""Point"", ""coordinates"": [2.379722509916652, 48.898623537920535]}";48.8986235379,2.37972250992
2632;69, RUE DES HAIES 2-4, PASSAGE JOSSEAUME;75020;Paris;2014;RIVP;22;22;0;0;0;construction neuve;;20;foyer pour jeunes travailleurs ou résidence pour jeunes;656197.5506;6861789.01;"{""type"": ""Point"", ""coordinates"": [2.403039484350308, 48.8546497847239]}";48.8546497847,2.40303948435
2635;27, RUE SAINT LAMBERT;75015;Paris;2014;SCI SKERDI;1;0;0;0;1;construction neuve;;15;logement familial;648043.9912;6859925.094;"{""type"": ""Point"", ""coordinates"": [2.292152114280106, 48.83728176729528]}";48.8372817673,2.29215211428
2655;101-105 , BD BRUNE 2-8, ALLEE GASTON BACHELARD;75014;Paris;2014;TOIT&JOIE;47;14;33;0;0;construction neuve;;14;logement familial;649735.3539;6858620.307;"{""type"": ""Point"", ""coordinates"": [2.315348167934374, 48.825681858853436]}";48.8256818589,2.31534816793
2659;134 BIS RUE DE TOLBIAC;75013;Paris;2007;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;13;logement familial;652874.1798;6858659.229;"{""type"": ""Point"", ""coordinates"": [2.358095677736813, 48.82626900733457]}";48.8262690073,2.35809567774
2662;30-32 RUE PAUL BARRUEL;75015;Paris;2007;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;15;logement familial;649013.2576;6860015.376;"{""type"": ""Point"", ""coordinates"": [2.305345877053258, 48.83817108664378]}";48.8381710866,2.30534587705
2407;4, BOULEVARD DE BELLEVILLE;75020;Paris;2013;RIVP;5;0;0;0;5;acquisition conventionnement;;20;logement familial;654759.1379;6863208.271;"{""type"": ""Point"", ""coordinates"": [2.383285834478299, 48.86731365517027]}";48.8673136552,2.38328583448
2410;67-69, RUE DE BAGNOLET;75020;Paris;2013;RIVP;23;0;0;0;23;acquisition conventionnement;;20;logement familial;655933.1908;6862136.491;"{""type"": ""Point"", ""coordinates"": [2.399400783192612, 48.85775663705073]}";48.8577566371,2.39940078319
2416;ZAC CLICHY BATIGNOLLES LOT O6A;75017;Paris;2013;RSF;50;50;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;17;site de desserrement de foyer de travailleur migrant;649454.0801;6865911.819;"{""type"": ""Point"", ""coordinates"": [2.3106501204923022, 48.89123134749839]}";48.8912313475,2.31065012049
2432;21 BIS-23, RUE PAJOL - 60-62 RUE PHILIPPE DE GIRARD;75018;Paris;2013;SIEMP;15;2;8;0;5;construction neuve;;18;logement familial;653156.1253;6865405.26;"{""type"": ""Point"", ""coordinates"": [2.361192550063439, 48.886956038129455]}";48.8869560381,2.36119255006
2433;22-24, BD DE LA CHAPELLE;75018;Paris;2013;SIEMP;9;2;5;0;2;construction neuve;;18;logement familial;653231.8234;6865143.322;"{""type"": ""Point"", ""coordinates"": [2.362253645315084, 48.88460601677401]}";48.8846060168,2.36225364532
2435;8, RUE LABAT;75018;Paris;2013;SIEMP;9;0;0;0;9;construction neuve;;18;logement familial;652403.9341;6865776.087;"{""type"": ""Point"", ""coordinates"": [2.35089384734367, 48.89023559059079]}";48.8902355906,2.35089384734
2440;134, RUE D'AVRON;75020;Paris;2013;SIEMP;5;0;0;0;5;construction neuve;;20;logement familial;656642.0064;6861618.323;"{""type"": ""Point"", ""coordinates"": [2.409113918046911, 48.853144864756196]}";48.8531448648,2.40911391805
2444;148-150, AVENUE DE VERSAILLES;75016;Paris;2013;SIFER;5;0;0;0;5;construction neuve;;16;logement familial;646121.0092;6860397.722;"{""type"": ""Point"", ""coordinates"": [2.265895057204867, 48.84137419527541]}";48.8413741953,2.2658950572
2353;GROUPE MOLITOR 37, AVENUE DU GENERAL SARRAIL;75016;Paris;2013;PARIS HAB;1;0;1;0;0;acquisition réhabilitation;;16;logement familial;645338.6148;6860606.196;"{""type"": ""Point"", ""coordinates"": [2.255208716420288, 48.84318309636603]}";48.8431830964,2.25520871642
2144;66, RUE RENE BINET (ILOT BINET TRANCHE 2);75018;Paris;2012;PARIS HAB;50;0;0;15;35;construction neuve;;18;logement familial;651380.208;6866800.831;"{""type"": ""Point"", ""coordinates"": [2.336815742065751, 48.89937419090297]}";48.8993741909,2.33681574207
2158;ZAC CLICHY BATIGNOLLES LOT E10B;75017;Paris;2012;PARIS HAB;100;0;0;0;100;construction neuve;;17;établissement d'hébergement pour personnes âgées dépendantes;649607.4503;6866195.24;"{""type"": ""Point"", ""coordinates"": [2.3127080484742892, 48.89379205482163]}";48.8937920548,2.31270804847
2160;185-187, RUE DE TOLBIAC;75013;Paris;2012;PIER.LUM;20;0;0;0;20;construction neuve;;13;logement familial;652409.4172;6858609.556;"{""type"": ""Point"", ""coordinates"": [2.351770948935122, 48.82578814457264]}";48.8257881446,2.35177094894
2173;118 RUE RAMBUTEAU;75001;Paris;2012;RIVP;1;0;1;0;0;construction neuve;;1;logement familial;652119.7193;6862714.545;"{""type"": ""Point"", ""coordinates"": [2.347363040593344, 48.8626828651835]}";48.8626828652,2.34736304059
2495;64 AVENUE DU DOCTEUR ARNOLD NETTER;75012;Paris;2014;ELOGIE;9;4;5;0;0;construction neuve;;12;logement familial;656410.2201;6860772.01;"{""type"": ""Point"", ""coordinates"": [2.406041989903816, 48.84551832040277]}";48.8455183204,2.4060419899
2507;44-46, RUE VERON - 28, RUE LEPIC;75018;Paris;2014;ELOGIE;11;6;5;0;0;construction neuve;;18;logement familial;651205.8416;6865241.303;"{""type"": ""Point"", ""coordinates"": [2.334616708223127, 48.88533678897934]}";48.885336789,2.33461670822
2512;36-38, RUE DES ORTEAUX;75020;Paris;2014;FRANC.HAB.;61;0;61;0;0;acquisition réhabilitation;;20;résidence pour personnes âgées;656061.4572;6862009.561;"{""type"": ""Point"", ""coordinates"": [2.401162015234116, 48.85662392348444]}";48.8566239235,2.40116201523
2523;328, RUE SAINT JACQUES;75005;Paris;2014;HSF;1;0;1;0;0;construction neuve;;5;logement familial;651578.2609;6860185.833;"{""type"": ""Point"", ""coordinates"": [2.340270950603538, 48.839901841204885]}";48.8399018412,2.3402709506
2787;20-26, RUE DE CRONSTADT;75015;Paris;2015;PARIS HAB;1;1;0;0;0;acquisition conventionnement;;15;logement familial;648729.1005;6859554.169;"{""type"": ""Point"", ""coordinates"": [2.3015302427863222, 48.83400089757259]}";48.8340008976,2.30153024279
2804;ZAC CLICHY BATIGNOLLES LOT O8 35 ALLEE COLETTE HEILBRONNER;75017;Paris;2015;RES.L.F.;42;0;0;0;42;construction neuve;;17;logement familial;649355.2619;6866016.79;"{""type"": ""Point"", ""coordinates"": [2.309289975137041, 48.89216754189415]}";48.8921675419,2.30928997514
2812;1 BIS, RUE CADET;75009;Paris;2015;RIVP;1;1;0;0;0;acquisition réhabilitation;;9;logement familial;651765.7491;6864010.269;"{""type"": ""Point"", ""coordinates"": [2.34239135296844, 48.87430864547368]}";48.8743086455,2.34239135297
2813;26, RUE BERGERE;75009;Paris;2015;RIVP;2;2;0;0;0;construction neuve;;9;logement familial;651927.5396;6863810.341;"{""type"": ""Point"", ""coordinates"": [2.34461966861515, 48.872522837316076]}";48.8725228373,2.34461966862
2824;72-76, RUE DU CHÂTEAU DES RENTIERS;75013;Paris;2015;RIVP;42;0;0;0;42;acquisition conventionnement;;13;logement familial;653681.588;6858689.74;"{""type"": ""Point"", ""coordinates"": [2.369089652576057, 48.82660192101053]}";48.826601921,2.36908965258
2826;115, BD JOURDAN 20, AVENUE PAUL APPELL;75014;Paris;2015;RIVP;2;2;0;0;0;acquisition réhabilitation;;14;logement familial;650594.0812;6858276.723;"{""type"": ""Point"", ""coordinates"": [2.327084152805785, 48.82265834831368]}";48.8226583483,2.32708415281
3008;57-59 RUE PIAT;75020;Paris;2016;SABLIERE;24;0;0;0;24;construction neuve;;20;résidence pour étudiants;654773.895;6863856.425;"{""type"": ""Point"", ""coordinates"": [2.383418001045918, 48.87314342650481]}";48.8731434265,2.38341800105
3015;79, RUE LEON FROT 14, RUE MERCOEUR;75011;Paris;2016;SIEMP;22;6;12;0;4;acquisition réhabilitation;;11;logement familial;654838.473;6862116.175;"{""type"": ""Point"", ""coordinates"": [2.384483314856504, 48.85749812486644]}";48.8574981249,2.38448331486
3019;106 BD DIDEROT;75012;Paris;2016;SIEMP;1;1;0;0;0;acquisition réhabilitation;;12;logement familial;654930.346;6860957.639;"{""type"": ""Point"", ""coordinates"": [2.385858228327022, 48.847085877209416]}";48.8470858772,2.38585822833
2688;4 RUE SAMBRE ET MEUSE;75010;Paris;2015;AXIMO;1;0;1;0;0;acquisition conventionnement;;10;logement familial;653777.0323;6864093.234;"{""type"": ""Point"", ""coordinates"": [2.369802256911896, 48.87520222453589]}";48.8752022245,2.36980225691
2715;23, RUE GODEFROY CAVAIGNAC;75011;Paris;2015;ELOGIE;6;6;0;0;0;construction neuve;;11;logement familial;654582.7393;6861867.241;"{""type"": ""Point"", ""coordinates"": [2.381024599646079, 48.8552414995296]}";48.8552414995,2.38102459965
2735;7, RUE EMILE LEVEL 8, RUE BOULAY;75017;Paris;2015;ELOGIE;3;3;0;0;0;acquisition réhabilitation;;17;logement familial;649991.1619;6866090.191;"{""type"": ""Point"", ""coordinates"": [2.317953513172642, 48.89287731405147]}";48.8928773141,2.31795351317
2897;12, RUE DE MONCEAU;75008;Paris;2016;ELOGIE;22;11;11;0;0;construction neuve;;8;logement familial;649172.965;6864183.413;"{""type"": ""Point"", ""coordinates"": [2.30702330798313, 48.875666276130865]}";48.8756662761,2.30702330798
2924;222, RUE DE CHARENTON;75012;Paris;2016;HSF;22;11;6;0;5;construction neuve;;12;logement familial;655090.336;6860191.384;"{""type"": ""Point"", ""coordinates"": [2.388119153783631, 48.84020608335489]}";48.8402060834,2.38811915378
2949;92-94-98, BD PONIATOWSKI 2-4, RUE DUBOIS;75012;Paris;2016;PARIS HAB;1136;341;568;0;227;acquisition conventionnement;;12;logement familial;656258.234;6859480.49;"{""type"": ""Point"", ""coordinates"": [2.404103897826573, 48.83389326631188]}";48.8338932663,2.40410389783
2971;15, RUE SAINT JUST;75017;Paris;2016;RSF;250;250;0;0;0;construction neuve;;17;résidence sociale pour démuni;649621.564;6866530.334;"{""type"": ""Point"", ""coordinates"": [2.312860762225569, 48.89680650994517]}";48.8968065099,2.31286076223
3342;RUE RENE BINET;75018;Paris;2018;FONCIERE;26;0;0;0;1;construction neuve;;18;logement familial;651388.318;6866867.987;"{""type"": ""Point"", ""coordinates"": [2.336918666937345, 48.899978706426836]}";48.8999787064,2.33691866694
3347;4, RUE D'AIX;75010;Paris;2018;HAB.CONF.;25;1;0;0;0;acquisition conventionnement;;10;centre d'hébergement d'urgence;653774.596;6863526.613;"{""type"": ""Point"", ""coordinates"": [2.369830692974941, 48.87010654475129]}";48.8701065448,2.36983069297
3286;12 RUE HUMBLOT;75015;Paris;2018;AXIMO;1;1;0;0;0;acquisition réhabilitation;;15;logement familial;648190.126;6861442.627;"{""type"": ""Point"", ""coordinates"": [2.293958087410456, 48.85094063102959]}";48.850940631,2.29395808741
